Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,0,277,"",0300001501
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"0",00
4,UNKNOWN,0,0,"0",00
5,POINT,0,156,"",61009c00
6,POINT,0,157,"",61009d00
7,POINT,0,156,"",61009c00
8,POINT,0,157,"",61009d00
9,POINT,0,156,"",61009c00
10,POINT,0,157,"",61009d00
11,POINT,0,156,"",61009c00
12,POINT,0,157,"",61009d00
13,POINT,0,156,"",61009c00
14,POINT,0,157,"",61009d00
15,POINT,0,156,"",61009c00
16,POINT,0,157,"",61009d00
17,POINT,0,157,"",61009d00
18,POINT,0,29,"",61001d00
19,POINT,0,30,"",61001e00
20,POINT,0,30,"",61001e00
21,POINT,0,30,"",61001e00
22,POINT,0,30,"",61001e00
23,POINT,0,30,"",61001e00
24,POINT,0,30,"",61001e00
25,POINT,0,30,"",61001e00
26,POINT,0,29,"",61001d00
27,POINT,0,30,"",61001e00
28,POINT,0,30,"",61001e00
29,POINT,0,30,"",61001e00
30,POINT,0,30,"",61001e00
31,POINT,0,30,"",61001e00
32,POINT,0,30,"",61001e00
33,POINT,0,30,"",61001e00
34,POINT,0,30,"",61001e00
35,POINT,0,29,"",61001d00
36,POINT,0,30,"",61001e00
37,POINT,0,30,"",61001e00
38,POINT,0,30,"",61001e00
39,POINT,0,30,"",61001e00
40,POINT,0,30,"",61001e00
41,POINT,0,30,"",61001e00
42,POINT,0,30,"",61001e00
43,POINT,0,30,"",61001e00
44,POINT,0,156,"",61009c00
45,POINT,0,157,"",61009d00
46,POINT,0,157,"",61009d00
47,POINT,0,157,"",61009d00
48,POINT,0,156,"",61009c00
49,POINT,0,157,"",61009d00
50,POINT,0,157,"",61009d00
51,POINT,0,157,"",61009d00
52,POINT,0,156,"",61009c00
53,POINT,0,157,"",61009d00
54,POINT,0,157,"",61009d00
55,POINT,0,157,"",61009d00
56,POINT,0,156,"",61009c00
57,POINT,0,157,"",61009d00
58,POINT,0,157,"",61009d00
59,POINT,0,157,"",61009d00
60,POINT,0,157,"",61009d00
61,SPEED,0,0,"0,0,0",02000000
62,LINEAR_MOVE,6912,903,"",03001b8703
63,UNKNOWN,0,0,"0",00
64,UNKNOWN,0,0,"28",1c
65,UNKNOWN,0,0,"135",87
66,LINEAR_MOVE,7168,8071,"",03001c871f
67,UNKNOWN,0,0,"0",00
68,UNKNOWN,0,0,"0",00
69,UNKNOWN,0,0,"0",00
